OBEC;OKRSEK;KC1;NAZEVOKRSK;TYPURADU;KODZEME;ZKRZEME;NAZEVZEME;SVETADIL;ADRESA;CASPOSUNLC;NAZEVOKRSA;NAZEVZEMEA
999997;1;5;"Tirana";"vv";8;"AL";"Alb·nie";"EV";"Rruga Skenderbej 10; 1000 Tirana; Albania";0;"Tirana";"Albania"
999997;2;6;"VÌdeÚ";"vv";40;"AT";"Rakousko";"EV";"Penzingerstrasse 11-13; 1140 Wien; Republik ÷sterreich";0;"Vienna";"Austria"
999997;3;0;"Brusel";"vv";56;"BE";"Belgie";"EV";"154, av. Adolphe Buyl; 1050 Bruxelles; Kingdom of Belgium";0;"Brussels";"Belgium"
999997;4;1;"Sarajevo";"vv";70;"BA";"Bosna a Hercegovina";"EV";"FranjevaËka 13; 71000 Sarajevo; Bosna i Hercegovina";0;"Sarajevo";"Bosnia and Herzegovina"
999997;5;2;"Sofie";"vv";100;"BG";"Bulharsko";"EV";"G.S. Rakovski 100; 1000 Sofia; Bulgaria";1;"Sofia";"Bulgaria"
999997;6;3;"Minsk";"vv";112;"BY";"BÏlorusko";"EV";"Nagornaya street 12, 220 088, Minsk,  Respublika Belarus";1;"Minsk";"Belarus"
999997;7;4;"Z·h¯eb";"vv";191;"HR";"Chorvatsko";"EV";"RadniËka cesta 47/VI, 10 000 Zagreb, Chorvatsko";0;"Zagreb";"Croatia"
999997;8;5;"KodaÚ";"vv";208;"DK";"D·nsko";"EV";"Ryvangs AllÈ 14-16; 2100 Kobenhavn 0; Denmark";0;"Copenhagen";"Denmark"
999997;9;6;"Tallinn";"vv";233;"EE";"Estonsko";"EV";"Lahe 4; 10150 Tallinn; Republic of Estonia";1;"Tallinn";"Estonia"
999997;10;0;"Helsinky";"vv";246;"FI";"Finsko";"EV";"Armfeltintie 14; 00150 Helsinki; The Republic of Finland";1;"Helsinki";"Finland"
999997;11;1;"Pa¯Ìû";"vv";250;"FR";"Francie";"EV";"15,  av. Charles Floquet,  75007, Paris,  France";0;"Paris";"France"
999997;12;2;"BerlÌn";"vv";276;"DE";"NÏmecko";"EV";"Wilhelmstrasse 44; 10117 Berlin - Mitte; Bundesrepublik Deutschland";0;"Berlin";"Germany"
999997;13;3;"Dr·ûÔany";"gk";276;"DE";"NÏmecko";"EV";"Erna-Berger-Strasse 1; 01097 Dresden-Neustadt; Bundesrepublik Deutschland";0;"Dresden";"Germany"
999997;14;4;"Mnichov";"gk";276;"DE";"NÏmecko";"EV";"Libellenstr. 1, 809 39 M¸nchen-Freimann; Bundesrepublik Deutschland";0;"Munich";"Germany"
999997;15;5;"D¸sseldorf";"k";276;"DE";"NÏmecko";"EV";"Martin Luther Platz 28, 402 12 D¸sseldorf, Germany";0;"D¸sseldorf";"Germany"
999997;16;6;"AthÈny";"vv";300;"GR";"ÿecko";"EV";"6, G. Seferi str., Palaio Psychico, 154 52 Athens, Greece";1;"Athens";"Greece"
999997;17;0;"Vatik·n";"vv";336;"VA";"Svat˝ stolec";"EV";"Via Crescenzio, 91 - sc. B, int. 1, 00193 Roma; Republic of Italy";0;"Vatican City";"Holy See (Vatican C.S.)"
999997;18;1;"Budapeöù";"vv";348;"HU";"MaÔarsko";"EV";"RÛzsa ˙tca 61; 1064 Budapest VI; Hungaria";0;"Budapest";"Hungary"
999997;19;2;"Dublin";"vv";372;"IE";"Irsko";"EV";"57 Northumberland Road; Ballsbridge; Dublin 4; D04 PF51; Ireland";-1;"Dublin";"Ireland"
999997;20;3;"ÿÌm";"vv";380;"IT";"It·lie";"EV";"Via dei Gracchi 322; 00192 Roma; Italia";0;"Rome";"Italy"
999997;21;4;"Riga";"vv";428;"LV";"Lotyösko";"EV";"Elizabetes iela 29a; LV-1010 Riga; Latvija";1;"Riga";"Latvia"
999997;22;5;"Vilnius";"vv";440;"LT";"Litva";"EV";"16 BirutÈs g., LT 08117 Vilnius; Lietuva";1;"Vilnius";"Lithuania"
999997;23;6;"Lucemburk";"vv";442;"LU";"Lucembursko";"EV";"Ambasade de la Republique TchÈque, 2, rond-point, Robert Schuman L-2525, Luxembourg, Grand-DuchÈ de Luxembourg";0;"Luxembourg";"Luxembourg"
999997;24;0;"Haag";"vv";528;"NL";"Nizozemsko";"EV";"Paleisstraat 4, 2514 JA Den Haag, Nizozemsko";0;"The Hague";"Netherlands"
999997;25;1;"Oslo";"vv";578;"NO";"Norsko";"EV";"Fritzners gate 14; 0264 Oslo; The Kingdom of Norway";0;"Oslo";"Norway"
999997;26;2;"Varöava";"vv";616;"PL";"Polsko";"EV";"Koszykowa 18, 00-555 Warszawa; Polska";0;"Warsaw";"Poland"
999997;27;3;"Lisabon";"vv";620;"PT";"Portugalsko";"EV";"Rua Pero de Alenquer, 14; 1400-294 Lisboa; Portugal";-1;"Lisbon";"Portugal"
999997;28;4;"Bukureöù";"vv";642;"RO";"Rumunsko";"EV";"Str. Ion Ghica nr. 11; 030045 Bucuresti; Romania";1;"Bucharest";"Romania"
999997;29;5;"Moskva";"vv";643;"RU";"Rusko";"EV";"ul. J. FuËika 12/14; 123056 Moskva; Rossijskaja Federacija";1;"Moscow";"Russian Federation"
999997;30;6;"Sankt Peterburg";"gk";643;"RU";"Rusko";"EV";"ul. TvÏrskaja 5; 191 015 Sankt Peterburg, Rossijskaja Federacija";1;"St. Peterburg";"Russian Federation"
999997;31;0;"JekatÏrinburg";"gk";643;"RU";"Rusko";"EV";"ul. Gogola 15, 620 075 Jekaterinburg, Rossijskaja Federacija";3;"Yekaterinburg";"Russian Federation"
999997;32;1;"Bratislava";"vv";703;"SK";"Slovensko";"EV";"Hviezdoslavovo n·m. 8,  810 00 Bratislava";0;"Bratislava";"Slovakia"
999997;33;2;"LublaÚ";"vv";705;"SI";"Slovinsko";"EV";"Riharjeva 1; 1000 Ljubljana; Republika Slovenija";0;"Ljubljana";"Slovenia"
999997;34;3;"Madrid";"vv";724;"ES";"äpanÏlsko";"EV";"Avda, PÌo XII, 22-24; 28016 Madrid; EspaÚa";0;"Madrid";"Spain"
999997;35;4;"Stockholm";"vv";752;"SE";"ävÈdsko";"EV";"Villagatan 21, 11432 Stockholm; Sweden";0;"Stockholm";"Sweden"
999997;36;5;"Bern";"vv";756;"CH";"äv˝carsko";"EV";"Muristrasse 53, 3006 Bern (Entrance Burgernzielweg), Suisse";0;"Bern";"Switzerland"
999997;37;6;"Kyjev";"vv";804;"UA";"Ukrajina";"EV";"Jaroslaviv Val 34-A; 01 901 Kyjev; Ukrajina";1;"Kiev";"Ukraine"
999997;38;0;"Lvov";"gk";804;"UA";"Ukrajina";"EV";"Antonovicha 130/a, 79057 Lvov, Ukrajina";1;"Lvov";"Ukraine"
999997;39;1;"Lond˝n";"vv";826;"GB";"SpojenÈ kr·lovstvÌ";"EV";"26, Kensington Palace Gardens; London W8 4QY; United Kingdom of Great Britain and Northern Ireland";-1;"London";"United Kingdom"
999997;40;2;"BÏlehrad";"vv";688;"RS";"Srbsk· republika";"EV";"Bulevar kralja Aleksandra 22, 11003 Beograd, Serbia";0;"Belgrade";"Serbia"
999997;41;3;"KiöinÏv";"vv";498;"MD";"Moldavsko";"EV";"str. Moara Rosie 23, Riscani, 2005 Chisinau, Moldova";1;"Kishinev";"Moldova, Republic of"
999997;42;4;"Skopje";"vv";807;"MK";"Makedonie";"EV";"ul. Todor Aleksandrov 35, 1000 Skopje, Makedonsk· republika";0;"Skopje";"Macedonia"
999997;43;5;"Priötina";"vv";95;"KO";"Republika Kosovo";"EV";"Ismail Qemali, Arberi/Dragodan Ë. 132, 10000 Priötina, Republika Kosovo";0;"Pristina";"Kosovo"
999997;44;6;"Podgorica";"kj";499;"ME";"»ern· Hora";"EV";"Partizanski put 6a, Toloöi, Podgorica 81000, »ern· Hora";0;"Podgorica";"Montenegro"
999997;45;0;"Hongkong";"gk";156;"CN";"»Ìna";"AS";"1204-5 Great Eagle Centre, 23 Harbour Road; Wan Chai; Hong Kong;";6;"Hong Kong";"China"
999997;46;1;"Peking";"vv";156;"CN";"»Ìna";"AS";"2 Ritan Lu, Jianguomenwai; Beijing 100 600; People¥s Republic of China";6;"Beijing";"China"
999997;47;2;"äanghaj";"gk";156;"CN";"»Ìna";"AS";"Room 808, New Town Center, 83 Loushanguan Road, Shanghai 200336; People¥s Republic of China";6;"Shanghai";"China"
999997;48;3;"Chengdu";"gk";156;"CN";"»Ìna";"AS";"Consulate General of the Czech Republic, 99 Dongdajie, Ping An Finance Centre, Chengdu, People¥s Republic of China";6;"Chengdu";"China"
999997;49;4;"NikÛsie";"vv";196;"CY";"Kypr";"AS";"18 Kyriakou Matsi Street, Victory Tower, 2nd Floor, Office no. 202, Ayioi Omologites, 1082 Nicosia; Republic of Cyprus";1;"Nicosia";"Cyprus"
999997;50;5;"Tbilisi";"vv";268;"GE";"Gruzie";"AS";"37-blok VI, Chavchavadze Ave; 0179 Tbilisi; Gruzie";2;"Tbilisi";"Georgia"
999997;51;6;"DillÌ";"vv";356;"IN";"Indie";"AS";"50-M, Niti Marg; Chanakyapuri; New Delhi - 110 021; Republic of India";3.5;"New Delhi";"India"
999997;52;0;"Jakarta";"vv";360;"ID";"IndonÈsie";"AS";"JI Gereja Theresia No. 20, Menteng, Jakarta Pusat, 10350; Indonesia";5;"Jakarta";"Indonesia"
999997;53;1;"Teher·n";"vv";364;"IR";"Õr·n";"AS";"No 36, Nastaran Alley, Boostan St, North Pasdaran Ave., Upper Farmaniyeh Crossroads, Tehran, Iran";1.5;"Tehran";"Iran, Islamic Republic"
999997;54;2;"Bagd·d";"vv";368;"IQ";"Ir·k";"AS";"Hay Al-Mansour, Dijlaschool 601/11/37, Baghdad; Iraq";1;"Baghdad";"Iraq"
999997;55;3;"ErbÌl";"gk";368;"IQ";"Ir·k";"AS";"Consulate General of the Czech Republik, Ankawa, Kareez 15, Str. 74, House 12, Erbil, Kurdistan region, Iraq";1;"Erbil";"Iraq"
999997;56;4;"Balad";"kj";368;"IQ";"Ir·k";"AS";"Balad Air Base - Czech Advisory Team Office Building (No. 8125), Balad District, Salahuddin Province, Iraq";1;"Balad";"Iraq"
999997;57;5;"Tel Aviv";"vv";376;"IL";"Izrael";"AS";"Zeitlin 23, Tel Aviv, 6495518; Izrael";1;"Tel Aviv";"Israel"
999997;58;6;"Tokio";"vv";392;"JP";"Japonsko";"AS";"2-16-14, Hiroo, Shibuya-ku; Tokyo 150-0012; Japan";7;"Tokyo";"Japan"
999997;59;0;"Astana";"vv";398;"KZ";"Kazachst·n";"AS";"Business Centre Altyn Orda, 11 floor, P.O.BOX 87, Mangilik El Ave. 8, 010000 Astana, Kazakhstan";4;"Astana";"Kazakhstan"
999997;60;1;"Amm·n";"vv";400;"JO";"Jord·nsko";"AS";"Halab street 34, Abdoun, Amman 11181, Jordan";1;"Amman";"Jordan"
999997;61;2;"Soul";"vv";410;"KR";"Korea";"AS";"7th Floor, The-K Twin Towers, B-dong, 50, Jongno 1gil, Jongno gu, Seoul 03142; Republic of Korea";7;"Seoul";"Korea (Republic of)"
999997;62;3;"Pchjongjang";"vv";408;"KP";"Korea, lidovÏ demokr.rep.";"AS";"Taedonggang Guyok 38, Taehakgori, Puksudong, Pchjongjang, Korejsk· lidovÏ demokratick· republika";6.5;"Pyongyang";"Korea (Dem.People's Rep.)"
999997;63;4;"Kuvajt";"vv";414;"KW";"Kuvajt";"AS";"Al-Nuzha, Block 3, Street 34, House 13, Kuwait City";1;"Kuwait City";"Kuwait"
999997;64;5;"Bejr˙t";"vv";422;"LB";"Libanon";"AS";"17, 419th Road (St. Bechara Church Street), 21007 Baabda, Mount Lebanon, Republic of Lebanon";1;"Beirut";"Lebanon"
999997;65;6;"Kuala Lumpur";"vv";458;"MY";"Malajsie";"AS";"42/B The Intermark Vista Tower, 348 Jalan Tun Razak, 50400 Kuala Lumpur, Malajsie";6;"Kuala Lumpur";"Malaysia"
999997;66;0;"Ul·nb·tar";"vv";496;"MN";"Mongolsko";"AS";"Olympic Street 12, Ulaanbaatar; Mongolia";6;"Ulaanbaatar";"Mongolia"
999997;67;1;"Isl·m·b·d";"vv";586;"PK";"P·kist·n";"AS";"House No. 49, Street No. 27, Sector F-6/2; Islamabad; Pakistan";3;"Islamabad";"Pakistan"
999997;68;2;"Manila";"vv";608;"PH";"FilipÌny";"AS";"Rufino Pacific Tower 30th floor, 6784 Ayala Avenue; Makati City; Manila; Republic of the Philippines";6;"Manila";"Philippines"
999997;69;3;"Rij·d";"vv";682;"SA";"Sa˙dsk· Ar·bie";"AS";"Al-Nuzha district, Saad Bin Gharir Street, Riyadh 11693; Kingdom of Saudi Arabia";1;"Riyadh";"Saudi Arabia"
999997;70;4;"Hanoj";"vv";704;"VN";"Vietnam";"AS";"13 Chu Van An; Hanoi; Vietnam";5;"Hanoi";"Viet Nam"
999997;71;5;"Damaöek";"vv";760;"SY";"S˝rie";"AS";"Abou Roumaneh; Misr Str. 51, Damascus; Syrian Arab Republic";1;"Damascus";"Syrian Arab Republic"
999997;72;6;"Bangkok";"vv";764;"TH";"Thajsko";"AS";"71/6 Ruam Rudee Soi 2, Ploenchit Rd., Bangkok 10330, Thailand";5;"Bangkok";"Thailand"
999997;73;0;"Ab˙ DhabÌ";"vv";784;"AE";"SpojenÈ arabskÈ emir·ty";"AS";"Marina Village, Villa - A09, Abu Dhabi, UAE";2;"Abu Dhabi";"United Arab Emirates"
999997;74;1;"Ankara";"vv";792;"TR";"Turecko";"AS";"Kaptanpasa Sokak No. 15, Gaziosmanpasa, Ankara, Republic of Turkey";1;"Ankara";"Turkey"
999997;75;2;"Istanbul";"gk";792;"TR";"Turecko";"AS";"Abdi Ipekci Cad. 71, 34367 Macka-Istanbul; Republic of Turkey";1;"Istanbul";"Turkey"
999997;76;3;"Taökent";"vv";860;"UZ";"Uzbekist·n";"AS";"3-Navnichol 6, Mirzo-Ulukbekskij rajon; 100041 Tashkent; Uzbekistan";3;"Tashkent";"Uzbekistan"
999997;77;4;"K·bul";"vv";4;"AF";"Afgh·nist·n";"AS";"St. No. 10, House No. 337, Wazir Akbar Khan, Kabul, Afgh·nist·n";2.5;"Kabul";"Afghanistan"
999997;78;5;"Bagram";"kj";4;"AF";"Afgh·nist·n";"AS";"Command of the Czech Army Guard Company, Bagram, Air Field (BAF), RSM, Parwan Province, Afganistan";2.5;"Bagram";"Afghanistan"
999997;79;6;"Baku";"vv";31;"AZ";"¡zerb·jdû·n";"AS";"Jafar Jabbarli str. 44, AZ-1065 Baku, Azerbaijan";2;"Baku";"Azerbaijan"
999997;80;0;"Jerevan";"vv";51;"AM";"ArmÈnsk· republika";"AS";"Nalbandyan 48/1, 0010 Yerevan, Armenia";2;"Yerevan";"Armenia"
999997;81;1;"Rangun";"vv";104;"MM";"Myanmar";"AS";"Embassy of the Czech Republic, No.109/B2 Aung Taw Mu Lane, Than Lwin Road, Bahan Township, Yangon; Republic of the Union of Myanmar";4.5;"Yangon";"Myanmar"
999997;82;2;"Phnompenh";"vv";116;"KH";"KambodûskÈ kr·lovstvÌ";"AS";"iCON Professional Building (5th floor), 216 Norodom Boulevard, Tonle Bassac, Chamkarmon, 12301 Phnom Penh, Cambodia";5;"Phnom Penh";"Cambodia"
999997;83;3;"Buenos Aires";"vv";32;"AR";"Argentina";"AM";"JunÌn 1461, 1113 Buenos Aires; Argentina";-5;"Buenos Aires";"Argentina"
999997;84;4;"BrasÌlia";"vv";76;"BR";"BrazÌlie";"AM";"SES 805 Lote 21A Via L3 Sul, Asa Sul, CEP 70200-901 BrasÌlia, BrazÌlie";-4;"BrasÌlia";"Brazil"
999997;85;5;"Sao Paulo";"gk";76;"BR";"BrazÌlie";"AM";"Avenida Morumbi, 635; 05607-000 Sao Paulo - SP; Brasil";-4;"Sao Paulo";"Brazil"
999997;86;6;"Ottawa";"vv";124;"CA";"Kanada";"AM";"251 Cooper Street; Ottawa; Ontario; K2P 0G2; Canada";-6;"Ottawa";"Canada"
999997;87;0;"Toronto";"gk";124;"CA";"Kanada";"AM";"2 Bloor Street West, Suite 1500, Ontario, M4W 3E2, Toronto; Canada";-6;"Toronto";"Canada"
999997;88;1;"Santiago de Chile";"vv";152;"CL";"Chile";"AM";"Av. EL Golf 254, Las Condes, Santiago de Chile; Republic of Chile";-5;"Santiago de Chile";"Chile"
999997;89;2;"Havana";"vv";192;"CU";"Kuba";"AM";"Ave. Kohly No. 259, e/41 y 43, Nuevo Vedado, La Habana, Cuba";-6;"Havana";"Cuba"
999997;90;3;"Mexiko";"vv";484;"MX";"Mexiko";"AM";"Cuvier 22; Col. Nueva Anzures; Del. Miguel Hidalgo; C.P. 11 590, MÈxico, D.F.; Estados Unidos Mexicanos";-7;"Mexico City";"Mexico"
999997;91;4;"Lima";"vv";604;"PE";"Peru";"AM";"Baltazar la Torre 398; San Isidro; Lima 27; Peru";-7;"Lima";"Peru"
999997;92;5;"Bogota";"vv";170;"CO";"Kolumbie";"AM";"Embassy of the Czech Republik, Edificio AB Proyectos, Calle 98 No. 9A-41, Oficina 602, 110221 Bogota, Colombia";-6;"Bogot·";"Colombia"
999997;93;6;"Los Angeles";"gk";840;"US";"SpojenÈ st·ty";"AM";"10990 Wilshire Blvd., Suite 1100; Los Angeles, CA 90024; United States of America";-9;"Los Angeles";"United States"
999997;94;0;"New York";"gk";840;"US";"SpojenÈ st·ty";"AM";"321 East, 73rd Street; New York, NY 10021; United States of America";-6;"New York";"United States"
999997;95;1;"Washington";"vv";840;"US";"SpojenÈ st·ty";"AM";"3900 Spring of Freedom Street, N. W.; Washington D. C. 20008; United States of America";-6;"Washington D. C";"United States"
999997;96;2;"Chicago";"gk";840;"US";"SpojenÈ st·ty";"AM";"205 North Michigan Avenue, Suite 1680, Chicago, IL 60601; United States of America";-7;"Chicago";"United States"
999997;97;3;"AlûÌr";"vv";12;"DZ";"AlûÌrsko";"AF";"03, Chemin du Ziryab, B.P. 358, Alger - Telemly";-1;"Algiers";"Algeria"
999997;98;4;"Dakar";"vv";110;"SN";"Senegal";"AF";"Ambassade de la RÈpublique tcheque, 37, rue Jacques Bugnicourt, Dakar-Plateau, Senegal";-2;"Dakar";"Senegal"
999997;99;5;"Addis Abeba";"vv";231;"ET";"Etiopie";"AF";"Kirkos Kifle Ketema Rd., Kebele 15, House No. 289, Addis Abeba; Ethiopia";1;"Addis Abeba";"Ethiopia"
999997;100;6;"Akkra";"vv";288;"GH";"Ghana";"AF";"Kanda Highway No. 2, House No. C 260/5; Accra. North; Ghana";-2;"Accra";"Ghana"
999997;101;0;"Rabat";"vv";504;"MA";"Maroko";"AF";"4,5 km, Avenue Mohammed VI, 10, Rue Ait Melloul, Villa Merzaa, Rabat - Souissi; Royaume du Maroc";-1;"Rabat";"Morocco"
999997;102;1;"Abuja";"vv";566;"NG";"NigÈrie";"AF";"Gnassingbe Eyadema Str. 5, Asokoro, Abuja, Federal Republic of Nigeria";-1;"Abuja";"Nigeria"
999997;103;2;"Pretoria";"vv";710;"ZA";"Jihoafrick· republika";"AF";"936 Pretorius Street, Arcadia, 0083 Pretoria; Republic of South Africa";0;"Pretoria";"South Africa"
999997;104;3;"Tunis";"vv";788;"TN";"Tunisko";"AF";"98, Rue de Palestine; B. P. 53; 1002 Tunis-Belvedere; Tunisie";-1;"Tunis";"Tunisia"
999997;105;4;"K·hira";"vv";818;"EG";"Egypt";"AF";"4 Dokki St., Giza 125 11; Cairo; Arab Republic of Egypt";0;"Cairo";"Egypt"
999997;106;5;"Nairobi";"vv";404;"KE";"KeÚa";"AF";"Embassy of the Czech Republik, P.O.Box 25639, 00603 Lavington, Nairobi, Kenya";1;"Nairobi";"Kenya"
999997;107;6;"Lusaka";"vv";894;"ZM";"Zambie";"AF";"Embassy of the Czech Republic, 2A Twin Palm Road, Kabulonga, Lusaka, Zambia";0;"Lusaka";"Zambia"
999997;108;0;"Canberra";"vv";36;"AU";"Austr·lie";"AO";"8 Culgoa Circuit, O¥Malley; Canberra, ACT 2606; Commonwealth of Australia";9;"Canberra";"Australia"
999997;109;1;"Sydney";"k";36;"AU";"Austr·lie";"AO";"169 Military Road, Dover Heights; NSW 2030 Sydney; Australia";9;"Sydney";"Australia"
